X,Y
0.6350910212626382, 0.040176120668136805
0.6590620507542068, 0.04796366667169294
0.6830347008224172, 0.05419680957976869
0.709094923701223, 0.058099698325156046
0.7341077138772872, 0.06666512111672107
0.7580795536571774, 0.07367546557253735
0.779967061779755, 0.07990725800007747
0.7987276672722039, 0.08535982315907553
0.8122762281888923, 0.09003181056899545
0.8226970761871311, 0.0947017722581136
0.8237250619701728, 0.1086920753577143
0.8143224762951251, 0.12733883534108537
0.7997070357559951, 0.14598221912311926
0.7725710200832179, 0.17394391859483416
0.7349995712224275, 0.21122528423676323
0.698475555064378, 0.24384411583251642
0.6588165333929921, 0.283455735637133
0.6254242815949956, 0.31219058521498444
0.5748093515375085, 0.3603443320219417
0.5341134309115521, 0.3945148657521065
0.47776111935029103, 0.44577370492855617
0.43028119480614024, 0.4869346635266494
0.38697398501821756, 0.5257667184425896
0.3300995776822273, 0.5778024215466466
0.276876599616057, 0.6275088833484174
0.23043681517976003, 0.6710021218300003
0.17877769357281464, 0.7207095964921716
0.12973148170447663, 0.7642011468730858
0.09216003284368575, 0.8014825125150155
0.05302715838863265, 0.8364312606533219
0.01180428025802219, 0.8760418675975378
-0.01689721245062067, 0.9055569573043326
-0.04090875635823181, 0.936629488687812
-0.06022548973488545, 0.9645962524615319
-0.06911003107680903, 0.9863521562559997
-0.07382428852746571, 1.0081107610115367
-0.07384697660044882, 1.0298724043482772
-0.06396118899007132, 1.0477544547288535
-0.04573726446212729, 1.067973511674791
-0.03221382248338554, 1.0967387470646741
-0.02077309158531366, 1.1231710273308
-0.010366828776849805, 1.141830616879251
-0.0051766619857511915, 1.163595636417328
-0.004678064572326672, 1.1853576173742022
-0.007317713825521866, 1.2172211927309036
-0.008404850655984628, 1.2599666026163758
