X,Y
0.6371729220549878, 0.04328627733963475
0.659062050754207, 0.04796366667169272
0.6799069879039682, 0.05419478385896559
0.7049213986566745, 0.061205803555049565
0.7299358094093801, 0.0682168232511331
0.7518249381085994, 0.07289421258319218
0.7778827301224427, 0.079128705971802
0.8008119989295162, 0.08613837518735035
0.8148777938910075, 0.09469670795610763
0.8169451094935833, 0.11179649248693924
0.8028493338642203, 0.13199461698458848
0.7830202281726868, 0.15141182611302595
0.7590192180132469, 0.17238073737587634
0.7391884917450723, 0.1933523495997964
0.7162324834234113, 0.21199033145969182
0.6911889022911551, 0.2329585674822745
0.668755800032544, 0.2500424838668218
0.6442326940983749, 0.2717882590572793
0.621275065200072, 0.29198064401265555
0.595190533671641, 0.3113938016994904
0.5711895235122015, 0.3323627129623392
0.5419740379120378, 0.3548826511193346
0.5169304567797817, 0.3758508871419173
0.4924105919988959, 0.39448785614141135
0.4689292467492228, 0.41701150811987664
0.43971376114905864, 0.4395314462768709
0.41936255968279734, 0.4597255193329164
0.39171255111850023, 0.48069206725483116
0.36145206368055743, 0.5055429348147804
0.33640848254830114, 0.5265111708373629
0.3113657117043656, 0.5467022053122048
0.27536622218600787, 0.5762125683371283
0.24405992262196535, 0.6041715668477734
0.2106676708239699, 0.6329064164256246
0.17832123115207377, 0.6585331350527805
0.14284302712012378, 0.6880438356978373
0.10579853576398716, 0.7198851281257151
0.0802304279920393, 0.7439618327191272
0.04735865139213081, 0.7734742214648525
0.018139924638683726, 0.79910296581281
-0.007426562556622376, 0.82162526731074
-0.027777764022884163, 0.8418193403667856
-0.04864863039891226, 0.860458672707216
-0.06795401973907413, 0.8775446148125657
-0.08830684178197765, 0.8992930909640918
-0.10657614245588971, 0.9225973206916349
-0.12066867693196986, 0.9396866389983215
-0.133197354948825, 0.9567769701654092
-0.14468508256950563, 0.9754223796682453
-0.14992386665985435, 1.0002894529946116
-0.1494236486697882, 1.020497030856004
-0.14266638426618158, 1.0391542570635195
-0.13277816579084242, 1.054704702800874
-0.12392765655839522, 1.0655912640115168
-0.11455586183953907, 1.0764781628422933
-0.10257844997696348, 1.088143951321479
-0.0885167064570757, 1.10058829182894
-0.0734132022526919, 1.1138105091244093
-0.060395650282262035, 1.1278085774870836
-0.047904245528165176, 1.1464695175160702
-0.036974266368331093, 1.1627978400414327
-0.02552462229872957, 1.1806809032824104
-0.016159309886440248, 1.1977854144951128
-0.008363525951622429, 1.2203293236815993
-0.005254449664552586, 1.2382069850004376
-0.00423780791800264, 1.263078109768408
